Date,Open,High,Low,Close,Volume
2009-08-05,1.08706,1.08706,1.08706,1.08706,0.0
2009-08-06,1.19569,1.22564,1.12743,1.17258,333927352.71091
2009-08-07,1.17023,1.21472,1.16179,1.19061,33867897.927337
2009-08-10,1.20507,1.20507,1.13126,1.15746,33407558.042828
2009-08-11,1.15813,1.15945,1.12329,1.13567,31813106.239521
2009-08-12,1.17023,1.17381,1.13484,1.15945,20027208.041863
2009-08-13,1.15945,1.21156,1.15945,1.19936,15877183.433
2009-08-14,1.19569,1.23183,1.17757,1.2029,8801107.2572646
2009-08-17,1.17897,1.18631,1.17381,1.17532,3510452.4165296
2009-08-18,1.19418,1.24648,1.18489,1.2369,19962663.961437
2009-08-19,1.22018,1.3,1.21738,1.29633,28575602.857496
2009-08-20,1.30082,1.30082,1.25305,1.28685,25971856.310063
2009-08-21,1.28929,1.30235,1.27379,1.29136,11916104.69654
2009-08-24,1.26985,1.29352,1.25371,1.26826,14097375.089812
2009-08-25,1.27897,1.29708,1.27174,1.29352,7323772.0725005
2009-08-26,1.28197,1.29352,1.24291,1.29352,9778023.4527929
2009-08-27,1.29352,1.31961,1.27174,1.31575,16022652.58324
2009-08-28,1.31164,1.37716,1.3045,1.3381,17869763.573988
2009-08-31,1.32976,1.3337,1.29061,1.31888,13864632.970095
2009-09-01,1.32272,1.33594,1.2276,1.29352,19091404.082381
2009-09-02,1.28685,1.32272,1.26693,1.28122,17848227.578837
2009-09-03,1.30235,1.30235,1.23183,1.26469,50473375.036161
2009-09-04,1.28619,1.3045,1.26741,1.28685,15987920.199369
2009-09-08,1.28685,1.29923,1.26469,1.28261,7933202.3922921
2009-09-09,1.29352,1.29352,1.24787,1.25071,7606083.1939181
2009-09-10,1.23249,1.26544,1.22835,1.23579,5729522.6351217
2009-09-11,1.23183,1.25585,1.19878,1.22328,8559631.4500972
2009-09-14,1.20592,1.22498,1.18216,1.20668,22279231.954323
2009-09-15,1.24985,1.25727,1.20507,1.24505,27422319.42966
2009-09-16,1.26094,1.28619,1.23991,1.27379,27907827.245201
2009-09-17,1.2797,1.29708,1.19784,1.20592,19959042.676396
2009-09-18,1.20083,1.23323,1.17258,1.17381,12417066.878533
2009-09-21,1.17981,1.20507,1.15004,1.20357,7630537.5187795
2009-09-22,1.22883,1.25867,1.21879,1.24985,15372887.538601
2009-09-23,1.27672,1.28929,1.25371,1.26094,7317637.1896086
2009-09-24,1.25585,1.29352,1.21401,1.26741,10745939.689912
2009-09-25,1.26693,1.26693,1.23916,1.24133,6464196.163121
2009-09-28,1.25502,1.29352,1.23416,1.27897,3222560.2558144
2009-09-29,1.27174,1.29276,1.22835,1.23416,4921944.1185877
2009-09-30,1.23183,1.25585,1.22883,1.2369,7073498.6728524
2009-10-01,1.23183,1.23847,1.17445,1.18216,9114444.2708082
2009-10-02,1.17381,1.18553,1.1522,1.16601,8686877.0159154
2009-10-05,1.16695,1.19784,1.15945,1.19483,2605631.7458213
2009-10-06,1.21314,1.24648,1.19144,1.19334,6477126.280883
2009-10-07,1.20083,1.20357,1.15364,1.16884,4025143.5291602
2009-10-08,1.16743,1.17258,1.15512,1.15998,7689404.7023635
2009-10-09,1.15813,1.19202,1.15512,1.17757,12012068.75011
2009-10-12,1.17532,1.19202,1.16245,1.18423,17784066.928589
2009-10-13,1.17324,1.20779,1.17023,1.19784,7690331.3253003
2009-10-14,1.22018,1.23183,1.19878,1.22177,9644334.1297703
2009-10-15,1.26094,1.30082,1.23916,1.24367,28867691.448522
2009-10-16,1.24845,1.24845,1.17445,1.19061,17439128.877648
2009-10-19,1.19277,1.20592,1.16384,1.17681,29569816.014511
2009-10-20,1.18423,1.2124,1.17897,1.19784,6747007.8739414
2009-10-21,1.18631,1.22564,1.16743,1.19483,3225031.2503124
